# geofeed v1
2001:470:c2fb::/48,AQ,,,
2001:470:c2ad::/48,AQ,,,
2001:470:f681::/48,AR,,,
2001:470:f6db::/48,MN,,,
2001:470:4096::/48,KZ,,,
2001:470:c085::/48,MG,,,
